figurative_type,uuid,phrase,category
simile,80021472422035888478721856120447560512480916874997214552821121805822138242853,as busy as a bee,Partial Literal
idiom,80889810570728579942017906738095651760769134431655744416940941112027097363921,take the cake,Partial Literal
idiom,14048764697972396636236097467188542900092971778942314538532076451326389866867,from stem to stern,Figurative
simile,9057490540230072208612095797032470123276263947254969070988411083625212090132,as fresh as a daisy,Figurative
idiom,5339718890513532146243836845695613315610673589629398747254430568221399894204,fall in line,Figurative+Literal
idiom,37578591692146702690169236918766138998308119921563069108357398133851505825995,have the hots for,Figurative
simile,111555609727522048012123124382910183736681435403567390103499999265762069652530,as happy as a kid,Partial Literal
idiom,106670415338647979967233524043707621466128300906921560899345327555491089012923,a little bird told me,Figurative+Literal
idiom,73465367907770769009105699454670941717390099542293884959872366769367147551240,pick holes,None
idiom,37904288314461905288786279651332015617785797336434226902014946671765433396559,long in the tooth,Literal
idiom,45464527738963788348211278690606770506567347269530452802372756335437571308162,on the ropes,Figurative
idiom,112605095352396658079637402573435379623755145767300129144355564206585334994816,under lock and key,None
idiom,4102900502241585893162498358919993931709981652427066207105434949329547152396,wear the trousers,Literal
idiom,19537165462821531385047687259953927312009999936014236590992036515141030196422,turn heads,None
idiom,17830257631027619311613853991849097971094022775545172959734795936905604891515,make a clean break,None
idiom,973900852692784497545000256381772818217546746008641791972309778413257552511,fall by the wayside,Figurative
idiom,76583295821930684172676752538784618603751497201939471768964640188746020134747,hold the ring,Literal
idiom,83359078748184278931224674122058721374593554396386308113133494006533417857259,round the clock,Figurative
idiom,20032468420925375581688582300957620664325128146654925312897284073038157138074,pull the wool over someone's eyes,No Category
simile,6134530351450131107481892784291482994614309650902883376737707423755499927634,as sour as vinegar,Partial Literal
idiom,10590199515677539646872686376102105483484362501028466059278294381825445450308,hit the road,None
idiom,9699309526373267827502382874837761030489023457090914927188718886009143945760,get under someone's skin,No Category
idiom,85252024648590585337242910935946823313266269879484653631177572742963127856081,within living memory,None
metaphor,16417398098012138430488805150729310308907951390845905005670719787284143670504,heart sank,None
idiom,66380401593821111311252731643630500557625605379692544248317943430726981444819,up to here,Figurative
simile,33547598031732438923361437799063639912961378508819507891710087146905136962332,as fresh as a daisy,Partial Literal
