uuid,phrase,category
22640120591285288476813538312853327607149146943052397021886144436603712032751,a little bird told me,Figurative+Literal
29705008096594995792668211730122825942090828801117696912867067896769241772146,a little bird told me,Literal
106670415338647979967233524043707621466128300906921560899345327555491089012923,a little bird told me,Figurative+Literal
15152998203144372054921131561693567712493042091553052658527943964373506687279,a little bird told me,No Category
23474557699958185822924641093015388706583850196810377833758402932430737883679,above board,Figurative
13144846465786052265383402364315090234265685690710292674137591141708805029805,above board,No Category
8001365201096812724109055738948528242800684464249240702556012530968015650609,above board,No Category
57379498519242792348709975898164818260546940735242766910593708657167277190791,above board,No Category
15081460387158716609820426920282759852763785673548923785276583157532886192301,above board,No Category
46360711032869634617209720563854993060292126665859514687133414652683463061165,above board,No Category
83735150521298555057312649348439978442181835891756779388481611413718181292352,add fuel to the fire,Figurative
29447018975666529914152947430360408062580407391867596972702526839712526190130,add fuel to the fire,Figurative
70745711069957959242495415365902807154827629358097866757526107556716018198355,add fuel to the fire,Partial Literal
23822053817080379667334386171123876368138984619284157798306683085207032936135,add fuel to the fire,Figurative
81416777364542921284471484608680912846683166012774185050926977185694761417326,add fuel to the fire,Figurative
103552490440855523690295148957052937848799040466129522535279893687030567831127,add fuel to the fire,Literal
19877069914009494718267090545626956814917376374989139208785382970171738400954,add fuel to the fire,Literal
44293657554674626266891731377458239207324624534843381495896732386297327274753,add fuel to the fire,Partial Literal
75264348734246603562456144234375717123205172061130098340282387122133413081764,add fuel to the fire,Literal
20217571497477789104178065670753690292691331907419234181549162189576611240430,add fuel to the fire,Literal
4070247604830556134341378936823578012172425369964471560678521956259794477956,ahead of the curve,No Category
59824358019271201264258835712250058515665702519870094885066046054296982700084,ahead of the curve,Figurative
17132528952414240415184936799614943288406576163135747082576816751763471088952,ahead of the curve,Partial Literal
44583484863794052674275612325109283870852335165054879176108674126944785878145,ahead of the curve,Partial Literal
67256359878729218209103587862897538684394115813941853918408114013626257601189,ahead of the curve,No Category
32625204838491247128865823067500090677119288959785568361782383320777508726930,ahead of the curve,No Category
60928120499620345545629122944076571035889944758729066250727451037673636371106,ahead of the game,Figurative
49406748901598005255646161349835206379319563238723627906486711262579025246682,ahead of the game,Figurative+Literal
7373535242053858484406797498471409928924248700398975494606301625763942102421,ahead of the game,No Category
16059714853072266409448784280754335665327933531999630531230831218945139023994,ahead of the game,No Category
107633681814852319405565409631102993797187009021123776871052091926057949272221,ahead of the game,No Category
115640322155701770122679312051034424359229383835999306468861832304604834110343,all bets are off,Figurative
65565301659637142675506910962409230045763939128759091453417340012152784554957,all bets are off,Figurative
49047137224902483021424059954893992925326407535663971906341421818972286600176,all dressed up and nowhere to go,No Category
88401535652597003211958175616881528825611988259939502837572905193445858538054,all dressed up and nowhere to go,No Category
103617246005075169438970404313566308723153059489972868841458422804816017855394,all dressed up and nowhere to go,Figurative+Literal
106438952943244216475002806808662524614519064640393159538535076975378161012923,all dressed up and nowhere to go,No Category
97235654765781795787712395413408251656860777223399285926334154654768730634007,all in a day's work,No Category
14985821693767364203957746070259076411991771582400752721117483483931030950605,all in a day's work,Partial Literal
79237627166122872870926911365351269740193388000286975652444367309233676128327,all over the place,Figurative
95373877000000565152378604823080354247388290672503330480739946856807539787376,all over the place,Figurative
110099127277787410197943388899215367482001497998691926246491681349161080019868,all over the place,No Category
44855868190282918693234141857400561888519537561925415293426751357607707100124,all over the place,Figurative
110891231122916162315246885099001434084810199299504332010893108044477922656838,all over the place,Figurative
88910933564805765382475536770514639951181582635323955089600480167037682770802,all over the place,Figurative
54625149503528545275499445894967665503230129887755704028444550849559605212350,all over the place,Figurative
12188106650156767928070735160748700775331100733772774226053169350911828928087,all over the place,Figurative
10528929684920935293473550243351366506830535934459835729631201719465692514931,all over the place,Figurative
35713545295854004468412716212885328899696384998989308898747229410790468892980,all over the place,Figurative
106610160952679479075297104670029751488521304148121639483329497510669668052528,all over the place,Figurative
16396957689085180828056130911734908312574572347503431066846429056192286603190,all over the place,Figurative
86948765896248898741351880647330253600989176220544971016571279901801633634121,all over the place,Figurative
46180317506427720732236501765296544993744658974617264986551171793207434572973,all over the place,Figurative
5529715521273783505936060124101833296662830942832792545799798652566114927512,all over the place,Figurative
79237627166122872870926911365351269740193388000286975652444367309233676128327,all over the shop,Figurative
95373877000000565152378604823080354247388290672503330480739946856807539787376,all over the shop,Figurative
110099127277787410197943388899215367482001497998691926246491681349161080019868,all over the shop,Figurative
44855868190282918693234141857400561888519537561925415293426751357607707100124,all over the shop,Figurative
110891231122916162315246885099001434084810199299504332010893108044477922656838,all over the shop,Figurative
88910933564805765382475536770514639951181582635323955089600480167037682770802,all over the shop,Figurative
54625149503528545275499445894967665503230129887755704028444550849559605212350,all over the shop,Figurative
12188106650156767928070735160748700775331100733772774226053169350911828928087,all over the shop,No Category
10528929684920935293473550243351366506830535934459835729631201719465692514931,all over the shop,Figurative
106610160952679479075297104670029751488521304148121639483329497510669668052528,all over the shop,Figurative
16396957689085180828056130911734908312574572347503431066846429056192286603190,all over the shop,Figurative
86948765896248898741351880647330253600989176220544971016571279901801633634121,all over the shop,Figurative
46180317506427720732236501765296544993744658974617264986551171793207434572973,all over the shop,Figurative
95342838745260541172177220696365047638801452349556253434381216288978971736510,all over the shop,No Category
5529715521273783505936060124101833296662830942832792545799798652566114927512,all over the shop,Figurative
113078722653910974307490792659041879294757941574766276093676163174989917301775,all over the shop,No Category
44437042698462145365545183913144927500538834224393936442978852928142406603130,all the rage,Figurative
96502238418984911154012128828268109007069960051019327073892203544671514945295,all the rage,Figurative
112832739241993075617318217881965113970553950952178255133156432478725265187839,all the rage,Figurative
2688045914015916099075425556110400217759556510330986853619706146650775780113,all the rage,Figurative
21936016279283951863330045568054465187279579437307006276946158653594160383933,all the rage,Figurative
31465565763510926850786715516636857839766546024991549935962247756607841423967,all the rage,Figurative
10571574117658617979105419860727267790116178398126246408330659438191384114582,all the rage,Figurative
115691144459944272342497393780311541865106828341306641108977097866422635567966,all wet,No Category
44289076258368843192161742580500893706157522009349710287477632935821420102184,all wet,Figurative
80576148965394487027964834627752218604831464991438436968067383172082982284669,all wet,Figurative
47937716939250477639845965346777745523355801613677649309371757411994947828455,all wet,Figurative
89366607389983486037594002359755645664966410256517550389249487951571587945918,all wet,Figurative
72526182724278970424899584722571036603724283252168352317217146191364617377125,all wet,Figurative
25091508826116710920166434419988723435378769066610045389898757996885626826948,all wet,Literal
23732248461573575948083664702811821035206171467374308454935491992190270832501,all wet,No Category
58754358231594391047892002134435592204840777429115448434635415322123257946073,all wet,Literal
7028657792901145822125912339459112016580410456067115749257998732982017421609,all wet,Literal
83822624773606898822277083945979285740569557252603021251869049780378020383302,and all that jazz,Figurative
4211994453657376988923316470671569233691192505025149404373624858125650334111,and all that jazz,Figurative
44022071992083160835529711788540337838867028774976400207766830380167671748541,and all that jazz,Figurative
4822121274672889412076046692275505816125894190928064124196770728480836399651,and all that jazz,Figurative
58511098258765012304274978421439308842333559494350575483620400932866210274674,and all that jazz,No Category
104796295197284046940263753904993909236918469307127046567535910922368977780402,armed to the teeth,Figurative
73045522468020259465506887827956931569447625178624476842885329028761738536205,armed to the teeth,Figurative
27084911979914804136132371202713155539591968533455839104378841823411950578128,armed to the teeth,No Category
96641927513987858390226361718525431638620057986063922415207234335377020671005,armed to the teeth,No Category
107295152942119965288257361104953204845790985676601269529431287763977554146820,armed to the teeth,Figurative
72062886001192914075803059962902751062697622202387355804996730679849459993909,armed to the teeth,Figurative+Literal
75182251735263713925170970755415420782399186396796574730278932607531012838431,armed to the teeth,Figurative+Literal
68445782605489683475416325716940014003520503521864853354678672617717386251933,armed to the teeth,Figurative
79226994779981051804137080908037053870102561185477447378973832089529066684400,armed to the teeth,Figurative
31012618776905863528812437054332846428042389533009939011925276485666911620563,ask for the moon,Figurative+Literal
52319642210513077491031724776281795818867845613848484806080593100681884206667,ask for the moon,Figurative+Literal
79703982307779832689463208966104533492504482345742889548664261230838140475148,ask for the moon,Figurative+Literal
66876306986959598992433836842945809726505555226547980108373287367025323078989,ask for the moon,Figurative+Literal
17479055344271978403115106979922092081984813895096871946206297649787146475822,at a loss for words,No Category
76318658272206508387583168364268921423131158729478383872238924505128912602792,at a loss for words,Figurative
22607090049747379646999203562481041289620902030430202255270543661805295283702,at a loss for words,Figurative
24293708886282742439665520500855459673346085296780193616024315803382277427721,at a loss for words,Figurative
83311092944763990230474921497722659777016035158967992501550966071674758809744,at a loss for words,Figurative
10502351120863257593454283374503126922101171235451835961353046169887413501213,at a loss for words,Figurative
97365188345253774342493963862561860249729686406872128054558875089687912609285,at sea,Figurative
61590069547829385604774575585833644462467304485415721582478908133052741793058,at sea,Figurative
81503915860019768628267451476516172342078821112362077375812209820249658806524,at sea,Figurative
80925496626905580956907557465299969909435567729387791303131068195471456638106,at sea,Literal
109085989787457328389806815551638974464105011999239362985881710227234449999731,at sea,Literal
53804962213915449489805446607074183424666584931644820151420666966540521105169,at sea,Literal
109368736713970767929040996084876271894001457417287994185633112635426149403647,at sea,Literal
45024373526928028688397775154588595273625664616639539550667905039310991956784,at sea,Literal
9192548326796593969772840356579072642202198409796207303896368985234051702240,at sixes and sevens,Figurative
78067852795012151848947473615114485063938359135731950882773794366863295273133,at the drop of a hat,Literal
36177311236529582493110616525779025893302885973916524240661413001187670342424,at the drop of a hat,Partial Literal
54194141460225040418414313854254998369400903676527861696715530863469976399746,at the drop of a hat,Literal
102785691205507590764662198788268656913468580468147310452161176623701773607526,at the drop of a hat,Literal
15368299126618645699154147210020040910973493443422745622352378111758934247320,away with the fairies,Figurative
111413855257692924869117125612675608427060058521719648501942531847327693662485,away with the fairies,Figurative
82440863550317918754285028521249311488861334002870806681877492263618424027151,away with the fairies,Figurative
115458997876329958708515103445133319158442613816133038467736192159536314723191,away with the fairies,Figurative
82145749051912334877413306929599291720330152302308396106668829409697128248312,away with the fairies,Figurative
45046037645514477702352931387843743972407495406626205434058283164443777194961,away with the fairies,Figurative
62646329024001108051037900601896356214653573156240950881893431998018987845424,away with the fairies,Figurative
31775934452352689982338559349074125649058179457585530492018062128584368903943,away with the fairies,Figurative
57151374849338596063030235260027415106357016703565842737996143508029432006938,away with the fairies,Figurative
112336098865548981169962769762038794236739683203779983435135872502251489634542,away with the fairies,Figurative
42877661048368960077413840515506788627966406646732342475751149422596975023734,away with the fairies,Figurative
66195583588820184284301721560458195862377656715346797473600491329573031302831,away with the fairies,Figurative
91052636281106902211871011361239734213565944004044867260140054583481947341462,away with the fairies,Figurative
15887812284026838565120036871534531087081269384401842266543507914851264495144,away with the fairies,Figurative
85168071033053378409132493541970516179503130785901445468675341107437663940122,away with the fairies,Figurative
13582659275679201387414987298294535924290021076079208638871457968431459952934,away with the fairies,Figurative
40832783266740014968285953611167047607162125797854021463832499183794244712499,away with the fairies,Figurative
19357392445298314489493136393639481377508362229354313013199830967233981379984,away with the fairies,Figurative
51058237751167878170133084691292773801966857447118444150002219764472857460642,away with the fairies,Figurative
61923590802956713516712775962916114926210417150712338533603340324986566314183,away with the fairies,Figurative
23092944721344478530870404298109133946961568046641884003648623727909789045408,away with the fairies,Figurative
66142086878737057651065339476973877424189571415211611433626396545379362517449,back to square one,No Category
66418181170402750358590214412225694501999478125031732159870155898882981520276,back to square one,Literal
45584959509486532981989277248634945670296970506229145514919198112969956339002,back to square one,Figurative+Literal
55546100536237338417319499609236777534426484020027521116538327290318009747032,back to square one,Figurative+Literal
114811767778512288405993216513833952112174005914530875863585097370140263055660,back to the drawing board,Partial Literal
66589013914840165766330300183141163637991677871945048370172966138037288635678,back to the drawing board,Figurative+Literal
19964771627066122124292438044469495649432140997954053858125757456739051684667,back to the drawing board,Partial Literal
77597649239566897087627869004392032324828321186015072660532476202084157226559,banana republic,Partial Literal
26215506813165578481766218636287773788525015906348496729539977567706732107024,banana republic,Partial Literal
111988390787024600501075101247987167965267724641798397716309242293874328276573,banana republic,Figurative
19022105401234579079489118771249517956622364024086922215981054785014856462789,banana republic,Partial Literal
96503905837153698603658429466635305802367579988504730840934490456151457998974,banana republic,Partial Literal
74371080982175839847670255130532439508824045737937861120858707387093979576837,banana republic,Figurative
6623506523634915636694949397543909989993719365184846348184527024835066141564,banana republic,Partial Literal
1536795374962046962643089068678660136062421176129024691351224280327886898633,banana republic,Figurative
35015788411653867580114202403993673473001496779948377017997798359988583487324,banana republic,Figurative
3722176876927335015659701534433305241886604590438002013742262887990084080777,bang for the buck,Figurative
60145827481522313718971114009976036710495027254071594481298238551080453248895,bang for the buck,Figurative
96360126200579462203614722056378471452650380623655198656424978964090458297417,bang for the buck,Figurative
105780523841284195662353211625744302674870135998541917846266651469679663348816,bang for the buck,Figurative
51837756882098566151083711010829884259905989632588521435253941830538725056685,bang for the buck,Figurative
33266418121884296223905582801220770464165356872741607724677846745815580790830,bang for the buck,Figurative
35747145903017752871420440592739420437064977645937656071396898589056542850053,bang for the buck,No Category
50374638876358288899923818353460320579229688753281739965720732721220064593820,bar none,Partial Literal
24114919127584999858666621684735687804667109531562784699705655331601823030566,bar none,Partial Literal
94274088009566457874766739639135461877724716800794158120981683314098569063071,bar none,Partial Literal
49411531723376907646037109575939351746911985750102998381299670936658678164374,bar none,Partial Literal
10561330065600294934095218668159051278004674261104132324760333222353521722769,bar none,Partial Literal
53108430875607017353034330103800422186952874599732061158429364176914605416566,bark up the wrong tree,Figurative+Literal
62524488510133667614557845783067523001513012771823526388167465404915146629901,bark up the wrong tree,Partial Literal
23247142916518901409720926516088073197927177218528154158009355022349276198160,bark up the wrong tree,Figurative
88874958461674562628749045806499838119863738443495353248864894224898454144,bark up the wrong tree,Figurative
91221027330278950539526331451007442948919985192789109509224850962736172932620,bark up the wrong tree,Figurative
66081008414335466618261471237189604060445878384512715965937799500051359452538,bark up the wrong tree,Figurative+Literal
