uuid,phrase,category
22425653004850201988701623843632647127930502448674022494247655346705526756442,walk all over,Figurative
12551503089911400847234822349751884627720601027815809639598768925062015908252,fly the flag,Not Figurative
60548409178286951946265944750831892987466947396009286537124872205231253646209,as wild as an animal,Figurative
49701500514750904257932983569015389462936892299676965736537292377853265847796,as red as a tomato,Figurative
81503915860019768628267451476516172342078821112362077375812209820249658806524,at sea,Figurative
34639687327494804221963286461045038554912319909723527585893242859048609688030,as white as a ghost,Not Figurative
110756782548500655186144715413248246694670910307272335735887073098113827073313,house of cards,Not Figurative
58777899678965660520293370398884967069941490569373033601557405850233135461487,as angry as a hornet,Not Figurative
79663091704534866497518435377861308899266294456419821184515753283691710284162,pass the buck,Not Figurative
93386210093999570086818689875228464080825249026385680244318125815942495250816,he drives a tank,Figurative
114733772837163382517050794255286050564302151211122055196658531773335053585531,as filthy as a pigsty,Not Figurative
1334037745851395418521278742076148602408191864468835679380615246551023508733,as deep as the ocean,Figurative
10270469804437917473242023236175918880926169778893792267626235218441857565257,as fast as a cheetah,Figurative
8640280582338187269348391687290573654394923342634682559962645472928738816875,as tall as a skyscraper,Not Figurative
93388775460931252998138306092998564587652986297438716151088138550233269293651,bundle of joy,Figurative
67590094617106063475777800973957167055657751185666551449227279143548473673676,their relationship is a house on fire,Not Figurative
54292618483714799980125648077850923237040285249074573852605129169631543490634,follow suit,Figurative
52295199443121377078088737936499450225470788040368791696703287850360906612192,behind bars,Not Figurative
23909805617791883945709101463135321042464413092534315257225894816574516369271,on board,Not Figurative
35098532627185315991911651497939817856338526762571998368401791117606941258204,kill the messenger,Figurative
113948358441409906360200132780078794588428099745850465116954584716050872750735,hit the jackpot,Figurative
107013537906957626115160004228232638335305848775399376014771919483956400436549,as fresh as a daisy,Not Figurative
61923590802956713516712775962916114926210417150712338533603340324986566314183,away with the fairies,Figurative
102099642259910892061185750360405878162497926693915915082791316550271090745026,up to here,Not Figurative
6376565422573404270392525801507280256810445822123541618423244065656873724721,homework is a breeze,Not Figurative
111988390787024600501075101247987167965267724641798397716309242293874328276573,banana republic,Figurative
65287408011465534268088956269994822471279970283725965319966343943265708149842,he was a tiger,Not Figurative
103868574995634705659779122425314504674858369842122226874564757491407274460427,as slippery as an ice rink,Figurative
16812652922790714038615099745023309251062493128084058528178640225230091921011,hit the ceiling,Not Figurative
26124307377109872705773196255565971645515378610628097272168051162389156490293,whoop it up,Figurative
13631631674864289357871347601068817699338978110142893739914990316212074086868,heart of gold,Not Figurative
88134475509065721542395031001696938879951812031048560112220363779289954092083,peaches and cream,Not Figurative
10659763402615636563080667135942986263256390965050793176536592833061187219161,she was a sly cat,Figurative
56854945478870057412730774092873830287284633785150037120545828616404299339841,up to here,Not Figurative
79849676404741841123050375353447796500607642281497689469044974199363527550590,as dry as a desert,Figurative
100807740721141005440677154558035117825000002730425972402104304354568003923921,as tall as a skyscraper,Figurative
43784031138310684701170279828693535573186944265947379205698260477121991883485,get a rise out of,Figurative
15598976598595492930239912807287280938710199900746856284525019883263784974423,to a turn,Not Figurative
4160966462222943046648643150795408384010104156065681162015369622786683205917,lead someone up the garden path,Not Figurative
87756109254205539704407311192403986828564480420701357203503321609178029598898,as wide as the sea,Not Figurative
19964771627066122124292438044469495649432140997954053858125757456739051684667,back to the drawing board,Not Figurative
112898992430868814565562970454594865977050186135714314775129531025415385890578,have the last laugh,Not Figurative
72685896083622105404107097287967511903506363485875130180005109113842129969102,as filthy as a pigsty,Not Figurative
81736470893482420604520083169739036655844346434432380325203217148441198486716,knock someone's socks off,Not Figurative
5084331705334966110593798053284593695926870816197266824635448130034864002007,as fast as a cheetah,Figurative
87650062052847139105255027873050179240314520064105958564125091141636024363304,as sweet as honey,Not Figurative
21044270072328845709898017738399332059216771581637312163181196635098780419778,as hard as rocks,Not Figurative
95904731061380944061124830610414570807992455298182762871666099910852780315786,as tall as a mountain,Figurative
28536586007303569368534045245459753095064131705169424545958159159929322113250,in the black,Figurative
11785154925050873662191309229986563259993918825012745420579713771799072554439,part company,Figurative
86375910625458630726785628489713578488089185578365365768440303521620441656747,as fresh as a daisy,Figurative
